temp/trial,initial,1,2,3,4
"160, 1",1b1614,181413,1e1b1e,30292a,262121
"160, 2",181311,1b1614,1f1c21,352b2d,231e23
"160, 3",1c1616,171312,1e1b1c,2c2626,272222
"130, 1 ",161316,211e20,2b272f,4c4145,39353d
"130, 2",181516,262123,2c2830,4a414b,363038
"130, 3",1c1b19,201b1f,29242c,4d4549,38333a
"100, 1",322e2c,201d20,2b2830,3a383e,312c33
"100, 2",343131,342d2e,2d2930,4e4951,3f3a41
"100, 3",37312f,282325,2a2831,3d383f,353137
"70, 1",3b3536,4d4848,5d5453,6d655c,615754
"70, 2",312f34,4d4846,615d5e,8c8171,746e6a
"70, 3",3b393e,443c3b,595152,7b7568,71665f
"room, 1",4a4441,716650,8c816d,9f8f6f,877663
"room, 2",4e4a48,756956,8f826e,a6987a,998772
"room,3",4a4542,786c58,8e816e,ab9c7c,938370
"40, 1",736a5c,9a8b64,a49776,bfa86c,b39f79
"40, 2",6d6459,887955,958669,bfa976,ae9c7b
"40, 3",595552,867a5e,998d76,a29067,918068
