temp,trial,wash,hex_code,red,green,blue,intensity
160 degrees,Trial 1,0,#1b1614,27,22,20,9.78
160 degrees,Trial 1,1,#181413,24,20,19,9.91
160 degrees,Trial 1,2,#1e1b1e,30,27,30,9.29
160 degrees,Trial 1,3,#30292a,48,41,42,8.22
160 degrees,Trial 1,4,#262121,38,33,33,8.89
160 degrees,Trial 2,0,#181311,24,19,17,10
160 degrees,Trial 2,1,#1b1614,27,22,20,9.78
160 degrees,Trial 2,2,#1f1c21,31,28,33,9.15
160 degrees,Trial 2,3,#352b2d,53,43,45,7.98
160 degrees,Trial 2,4,#231e23,35,30,35,8.96
160 degrees,Trial 3,0,#1c1616,28,22,22,9.69
160 degrees,Trial 3,1,#171312,23,19,18,9.99
160 degrees,Trial 3,2,#1e1b1c,30,27,28,9.35
160 degrees,Trial 3,3,#2c2626,44,38,38,8.5
160 degrees,Trial 3,4,#272222,39,34,34,8.82
130 degrees,Trial 1,0,#161316,22,19,22,9.88
130 degrees,Trial 1,1,#211e20,33,30,32,9.1
130 degrees,Trial 1,2,#2b272f,43,39,47,8.22
130 degrees,Trial 1,3,#4c4145,76,65,69,6.26
130 degrees,Trial 1,4,#39353d,57,53,61,7.17
130 degrees,Trial 2,0,#181516,24,21,22,9.8
130 degrees,Trial 2,1,#262123,38,33,35,8.83
130 degrees,Trial 2,2,#2c2830,44,40,48,8.14
130 degrees,Trial 2,3,#4a414b,74,65,75,6.11
130 degrees,Trial 2,4,#363038,54,48,56,7.5
130 degrees,Trial 3,0,#1c1b19,28,27,25,9.49
130 degrees,Trial 3,1,#201b1f,32,27,31,9.22
130 degrees,Trial 3,2,#29242c,41,36,44,8.42
130 degrees,Trial 3,3,#4d4549,77,69,73,6.02
130 degrees,Trial 3,4,#38333a,56,51,58,7.33
100 degrees,Trial 1,0,#322e2c,50,46,44,8.01
100 degrees,Trial 1,1,#201d20,32,29,32,9.14
100 degrees,Trial 1,2,#2b2830,43,40,48,8.16
100 degrees,Trial 1,3,#3a383e,58,56,62,7.05
100 degrees,Trial 1,4,#312c33,49,44,51,7.85
100 degrees,Trial 2,0,#343131,52,49,49,7.74
100 degrees,Trial 2,1,#342d2e,52,45,46,7.93
100 degrees,Trial 2,2,#2d2930,45,41,48,8.1
100 degrees,Trial 2,3,#4e4951,78,73,81,5.66
100 degrees,Trial 2,4,#3f3a41,63,58,65,6.81
100 degrees,Trial 3,0,#37312f,55,49,47,7.74
100 degrees,Trial 3,1,#282325,40,35,37,8.68
100 degrees,Trial 3,2,#2a2831,42,40,49,8.15
100 degrees,Trial 3,3,#3d383f,61,56,63,6.96
100 degrees,Trial 3,4,#353137,53,49,55,7.53
70 degrees,Trial 1,0,#3b3536,59,53,54,7.35
70 degrees,Trial 1,1,#4d4848,77,72,72,5.99
70 degrees,Trial 1,2,#5d5453,93,84,83,5.04
70 degrees,Trial 1,3,#6d655c,109,101,92,4.04
70 degrees,Trial 1,4,#615754,97,87,84,4.86
70 degrees,Trial 2,0,#312f34,49,47,52,7.75
70 degrees,Trial 2,1,#4d4846,77,72,70,6.05
70 degrees,Trial 2,2,#615d5e,97,93,94,4.41
70 degrees,Trial 2,3,#8c8171,140,129,113,2.11
70 degrees,Trial 2,4,#746e6a,116,110,106,3.26
70 degrees,Trial 3,0,#3b393e,59,57,62,7.01
70 degrees,Trial 3,1,#443c3b,68,60,59,6.85
70 degrees,Trial 3,2,#595152,89,81,82,5.22
70 degrees,Trial 3,3,#7b7568,123,117,104,3.02
70 degrees,Trial 3,4,#71665f,113,102,95,3.84
Room Temperature,Trial 1,0,#4a4441,74,68,65,6.36
Room Temperature,Trial 1,1,#716650,113,102,80,4.31
Room Temperature,Trial 1,2,#8c816d,140,129,109,2.24
Room Temperature,Trial 1,3,#9f8f6f,159,143,111,1.47
Room Temperature,Trial 1,4,#877663,135,118,99,2.9
Room Temperature,Trial 2,0,#4e4a48,78,74,72,5.92
Room Temperature,Trial 2,1,#756956,117,105,86,3.98
Room Temperature,Trial 2,2,#8f826e,143,130,110,2.12
Room Temperature,Trial 2,3,#a6987a,166,152,122,0.77
Room Temperature,Trial 2,4,#998772,153,135,114,1.68
Room Temperature,Trial 3,0,#4a4542,74,69,66,6.3
Room Temperature,Trial 3,1,#786c58,120,108,88,3.78
Room Temperature,Trial 3,2,#8e816e,142,129,110,2.17
Room Temperature,Trial 3,3,#ab9c7c,171,156,124,0.52
Room Temperature,Trial 3,4,#938370,147,131,112,1.95
40 degrees,Trial 1,0,#736a5c,115,106,92,3.81
40 degrees,Trial 1,1,#9a8b64,154,139,100,2.01
40 degrees,Trial 1,2,#a49776,164,151,118,0.96
40 degrees,Trial 1,3,#bfa86c,191,168,108,0.34
40 degrees,Trial 1,4,#b39f79,179,159,121,0.38
40 degrees,Trial 2,0,#6d6459,109,100,89,4.16
40 degrees,Trial 2,1,#887955,136,121,85,3.25
40 degrees,Trial 2,2,#958669,149,134,105,2.06
40 degrees,Trial 2,3,#bfa976,191,169,118,0
40 degrees,Trial 2,4,#ae9c7b,174,156,123,0.49
40 degrees,Trial 3,0,#595552,89,85,82,5.13
40 degrees,Trial 3,1,#867a5e,134,122,94,2.99
40 degrees,Trial 3,2,#998d76,153,141,118,1.42
40 degrees,Trial 3,3,#a29067,162,144,103,1.63
40 degrees,Trial 3,4,#918068,145,128,104,2.31
